EXPOCODE,Institute,END,chief_investigator,ship_records,,cruise_report_citation,EXPOCODE_synonyms,profile_citation,underway_citation,pigment_citation,POC_citation
91AH20140402,,20150506,,,,,,,,,
35XI20090905,,,,,,,,,,,
325020190403,Texas A&M University,20190514,Alejandro Orsi,CCHDO,,,SOCCOM-25; YR5-5,,,,
35MF19940126,,,,,,,,,,,
35MF19980121,,,,,,,,,,,
35MF19980818,,,,,,,,,,,
35MF19981205,,,,,,,,,,,
35MF20000117,,,,,,,,,,,
35MF20000719,,,,,,,,,,,
35MF20010103,,,,,,,,,,,
35MF20020104,,,,,,,,,,,
35MF20040103,,,,,,,,,,,
35MF20070104,,,,,,,,,,,
35MF19990104,,,,,,,,,,,
35MF19950927,,,,,,,,,,,
RUB320161220,,,,,,,,,,,
RU6B20000108,,,,,,,,,,,
RU6B20010111,,,,,,,,,,,
RU6B20020111,,,,,,,,,,,
RU6B20040111,,,,,,,,,,,
RU6B20080111,,,,,,,,,,,
RU6B20070106,,,,,,,,,,,
32PZ20020121,,,,,,,,,,,
74JD19921111,,,,,,,,,,,
74DI213_1,,,,,,,,,,,
74DI198_1,,,,,,,,,,,
31DSCG94_1,,,,,,,,,,,
318M20110220,,,,,,,,,,,
318M20020119,,,,,,,,,,,
61TG20030217,,,,,,,,,,,
61TG19990131,,,,,,,,,,,
49HH20011127,,,,,,,,,,,
49ZS19921203,,,,,,,,,,,
490S20181205,,,,,,,,,,,
14BS20020714,,,,,,,,,,,
14AL20020522,,,,,,,,,,,
14AL20020215,,,,,,,,,,,
08PD20030820,,,,,,,,,,,
740H20090203,,,,,,,,,,,
90KD20011006 ,,,,,,,,,,,
90KD20020315,,,,,,,,,,,
32EV20180506,,,,,,,,,,,
35NC19971127,,,,,,,,,,,
149919980804,,,,,,,,,,,
149920000423,,,,,,,,,,,
14AR20010122,,,,,,,,,,,
14AR20061028,,,,,,,,,,,
14AR20070325,,,,,,,,,,,
14AR20071016,,,,,,,,,,,
14AR20080104,,,,,,,,,,,
14AR19951114,,,,,,,,,,,
14AR19950318,,,,,,,,,,,
14AL19971017,,,,,,,,,,,
14AR20040115,,,,,,,,,,,
14AR20021113,,,,,,,,,,,
14AR20030123,,,,,,,,,,,
29HE19951203,,,,,,,,,,,
29HE19960117,,,,,,,,,,,
