EXPOCODE,Institute,END,chief_investigator,ship_records,,cruise_report_citation,EXPOCODE_synonyms,profile_citation,underway_citation,pigment_citation,POC_citation
09SS19960513,CSIRO,19960527,Jock Young; Clive Liron,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS199603,,09SS19960513_report,SS0396,09SS19960513_prof,09SS19960513_uwy,09SS19960513_pig,
09SS19961120,CSIRO,19961219,Allan Williams; Nic Bax,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS199606,,09SS19961120_report,SS0696,09SS19961120_prof,09SS19961120_uwy,09SS19961120_pig,
09SS19990110,CSIRO,19990204,Tony Koslow; Rudy Kloser,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS199901,,09SS19990110_report,SS0199,,,09SS19990110_pig,
09SS19990206,CSIRO,19990214,Bronte Tibrook,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS199902,,,SS0299,09SS19990206_prof,09SS19990206_uwy,09SS19990206_pig,
09SS20030822,CSIRO,20030830,Tony Koslow,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS200307,,09SS20030822_report,SS 07/2003,,09SS20030822_uwy,09SS20030822_pig,
09SS20040120,CSIRO,20040128,Tony Koslow,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS200401,,09SS20040120_report,SS012004,09SS20040120_prof,09SS20040120_uwy,09SS20040120_pig,
09SS20040723,CSIRO,20040806,Rudy Kloser,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS200407,,09SS20040723_report,SS072004,09SS20040723_prof,09SS20040723_uwy,09SS20040723_pig,
09SS20050721,CSIRO,20050817,Alan Williams; Rudy Kloser,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS200507,,09SS20050721_report,SS07-2005,09SS20050721_prof,09SS20050721_uwy,09SS20050721_pig,
09SS20051118,CSIRO,20051214,Alan Williams; Rudy Kloser,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS200510,,09SS20051118_report,SS10-2005; SS102005,09SS20051118_prof,09SS20051118_uwy,09SS20051118_pig,
09SS20060328,CSIRO,20060409,Tom Trull,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS200603,,09SS19950114_report,SS032006,09SS20060328_prof,09SS20060328_uwy,09SS20060328_pig,
